FID,年份,X_97,Y_97,資料來源
0,2016,323174.26,2777316.55,中央災害應變中心
1,2016,275176.47,2762544.36,中央災害應變中心
2,2016,323226.64,2777287.63,中央災害應變中心
3,2016,334118.46,2731526.68,中央災害應變中心
4,2016,330596.21,2741705.34,中央災害應變中心
5,2016,183197.33,2555036.44,中央災害應變中心
6,2016,177110.85,2552809.13,中央災害應變中心
7,2016,168354.96,2548676.77,中央災害應變中心
8,2016,166580.24,2545482.84,中央災害應變中心
9,2016,166812.83,2545796.89,中央災害應變中心
10,2016,169049.38,2548660.64,中央災害應變中心
11,2016,166976.61,2544454.08,中央災害應變中心
12,2016,167400.68,2551752.61,中央災害應變中心
13,2016,174045.32,2548239.29,中央災害應變中心
14,2016,160976.75,2551335.85,中央災害應變中心
15,2016,173292.74,2542095.01,CHT
16,2016,178397.32,2548403.54,中央災害應變中心
17,2016,166558.77,2549060.26,中央災害應變中心
18,2016,173682.34,2546199.35,中央災害應變中心
19,2016,165662.67,2537651.01,中央災害應變中心
20,2016,164103.22,2581650.76,中央災害應變中心
21,2016,175682.81,2541001.64,中央災害應變中心
22,2016,168919.88,2551168.76,中央災害應變中心
23,2016,176037.84,2513161.34,中央災害應變中心
24,2016,168999.30,2548556.55,中央災害應變中心
25,2016,180271.25,2507760.90,中央災害應變中心
26,2016,198893.56,2509317.56,中央災害應變中心
27,2016,182482.07,2508786.36,中央災害應變中心
28,2016,183326.13,2509417.88,中央災害應變中心
29,2016,173487.87,2514463.42,中央災害應變中心
30,2016,169517.88,2567301.65,中央災害應變中心
31,2016,185124.51,2505354.78,中央災害應變中心
32,2016,182110.58,2505423.24,中央災害應變中心
33,2016,160948.53,2546523.00,中央災害應變中心
34,2016,167256.45,2545932.86,中央災害應變中心
35,2016,169251.57,2549594.95,中央災害應變中心
36,2016,166383.96,2536364.07,中央災害應變中心
37,2016,167117.00,2546190.14,中央災害應變中心
38,2016,172903.11,2541996.01,中央災害應變中心
39,2016,178170.41,2548234.19,中央災害應變中心
40,2016,176121.49,2513355.32,中央災害應變中心
41,2016,166874.53,2548164.02,中央災害應變中心
42,2016,175670.41,2513759.00,中央災害應變中心
43,2016,176686.72,2513034.05,中央災害應變中心
44,2016,166952.98,2544174.40,中央災害應變中心
45,2016,167161.25,2543635.23,中央災害應變中心
46,2016,166644.57,2542817.28,中央災害應變中心
47,2016,171879.08,2545904.71,中央災害應變中心
48,2016,165619.77,2537786.03,中央災害應變中心
49,2016,173724.45,2546214.43,中央災害應變中心
50,2016,168585.52,2548941.46,中央災害應變中心
51,2016,157353.33,2558477.33,中央災害應變中心
52,2016,174529.83,2546044.50,中央災害應變中心
53,2016,165983.32,2549953.52,中央災害應變中心
54,2016,167290.99,2547508.65,中央災害應變中心
55,2016,156777.50,2565447.65,中央災害應變中心
56,2016,167077.77,2544259.95,中央災害應變中心
57,2016,167465.89,2544851.41,中央災害應變中心
58,2016,173463.47,2544391.04,中央災害應變中心
59,2016,178808.51,2503950.45,中央災害應變中心
60,2016,104578.44,2609394.89,中央災害應變中心
61,2016,105203.29,2609291.59,中央災害應變中心
62,2016,104926.35,2609251.56,中央災害應變中心
63,2016,167388.30,2542273.17,中央災害應變中心
64,2016,173984.26,2546118.09,中央災害應變中心
65,2016,166960.38,2545976.70,中央災害應變中心
66,2016,178529.48,2548855.98,中央災害應變中心
